2026-06-03 23:23:09.569 | WARNING  | app.import_process.agent.nodes.node_import_milvus:_get_milvus_client:97 - Milvus连接失败: <MilvusException: (code=2, message=Fail connecting to server on 47.94.86.115:19530, illegal connection params or server unavailable)>
2026-06-03 23:23:09.569 | WARNING  | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:59 - Milvus未连接，使用模拟模式
2026-06-03 23:23:09.571 | INFO     | app.import_process.agent.nodes.node_import_milvus:_mock_insert:220 - 模拟入库完成，数据保存到: output\milvus_import\import_20260603_232309.json
2026-06-03 23:23:09.573 | INFO     | app.import_process.agent.nodes.node_import_milvus:_save_import_result:240 - 入库结果已保存: E:\agent\PythonProject\dataset_rag\output\test_import\import_result.json
2026-06-03 23:23:09.573 | INFO     | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:70 - >>> 节点执行完成: node_import_milvus
2026-06-03 23:23:09.576 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:33 - >>> 开始执行节点: node_entry
2026-06-03 23:23:09.576 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:44 - 【node_entry】收到文件路径: E:\agent\PythonProject\dataset_rag\output\test_md\test_document.md
2026-06-03 23:23:09.576 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:55 - 【node_entry】文件类型: Markdown，开启MD解析流程
2026-06-03 23:23:09.576 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:66 - 【node_entry】文件标题: test_document
2026-06-03 23:23:09.577 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:72 - 【node_entry】输出目录: E:\agent\PythonProject\dataset_rag\output\test_md_import
2026-06-03 23:23:09.577 | INFO     | app.import_process.agent.nodes.node_entry:node_entry:76 - >>> 节点执行完成: node_entry
2026-06-03 23:23:09.577 | INFO     | __main__:route_after_entry:79 - 路由: MD文件 → node_md_img
2026-06-03 23:23:09.578 | INFO     | app.import_process.agent.nodes.node_md_img:node_md_img:47 - >>> 开始执行节点: node_md_img
2026-06-03 23:23:09.584 | INFO     | app.import_process.agent.nodes.node_md_img:node_md_img:71 - 图片目录不存在，跳过处理: E:\agent\PythonProject\dataset_rag\output\test_md\images
2026-06-03 23:23:09.585 | INFO     | app.import_process.agent.nodes.node_md_img:node_md_img:112 - >>> 节点执行完成: node_md_img
2026-06-03 23:23:09.585 | INFO     | app.import_process.agent.nodes.node_document_split:node_document_split:38 - >>> 开始执行节点: node_document_split
2026-06-03 23:23:09.586 | INFO     | app.import_process.agent.nodes.node_document_split:step_1_get_inputs:85 - 从文件读取MD内容: E:\agent\PythonProject\dataset_rag\output\test_md\test_document.md
2026-06-03 23:23:09.586 | INFO     | app.import_process.agent.nodes.node_document_split:step_1_get_inputs:90 - MD内容长度: 101 字符
2026-06-03 23:23:09.586 | INFO     | app.import_process.agent.nodes.node_document_split:step_2_split_by_titles:140 - 按标题切分完成，共 4 个章节
2026-06-03 23:23:09.586 | INFO     | app.import_process.agent.nodes.node_document_split:step_3_refine_chunks:164 - 精细化处理完成: 4 -> 4 -> 1
2026-06-03 23:23:09.587 | INFO     | app.import_process.agent.nodes.node_document_split:step_4_save_chunks:249 - Chunk结果已保存: E:\agent\PythonProject\dataset_rag\output\test_md_import\chunks.json
2026-06-03 23:23:09.587 | INFO     | app.import_process.agent.nodes.node_document_split:node_document_split:59 - 切分完成，共生成 1 个Chunk
2026-06-03 23:23:09.587 | INFO     | app.import_process.agent.nodes.node_document_split:node_document_split:66 - >>> 节点执行完成: node_document_split
2026-06-03 23:23:09.588 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:node_item_name_recognition:36 - >>> 开始执行节点: node_item_name_recognition
2026-06-03 23:23:09.588 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:step_1_get_inputs:82 - 文件标题: test_document, 切片数量: 1
2026-06-03 23:23:09.588 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:step_2_build_context:112 - 上下文构建完成，长度: 120 字符
2026-06-03 23:23:09.589 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:step_3_call_llm:130 - 调用LLM识别商品名称...
2026-06-03 23:23:09.920 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:step_3_call_llm:139 - LLM识别结果: 测试文档
2026-06-03 23:23:09.921 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:step_4_update_state:155 - 已为 1 个切片添加商品名称
2026-06-03 23:23:09.921 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:node_item_name_recognition:61 - 商品名称识别完成: 测试文档
2026-06-03 23:23:09.921 | INFO     | app.import_process.agent.nodes.node_item_name_recognition:node_item_name_recognition:69 - >>> 节点执行完成: node_item_name_recognition
2026-06-03 23:23:09.921 | INFO     | app.import_process.agent.nodes.node_bge_embedding:node_bge_embedding:30 - >>> 开始执行节点: node_bge_embedding
2026-06-03 23:23:09.922 | INFO     | app.import_process.agent.nodes.node_bge_embedding:node_bge_embedding:41 - 开始向量化，共 1 个切片
2026-06-03 23:23:09.922 | INFO     | app.import_process.agent.nodes.node_bge_embedding:node_bge_embedding:50 - 向量化完成，共 1 个切片
2026-06-03 23:23:09.922 | INFO     | app.import_process.agent.nodes.node_bge_embedding:node_bge_embedding:57 - >>> 节点执行完成: node_bge_embedding
2026-06-03 23:23:09.922 | INFO     | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:33 - >>> 开始执行节点: node_import_milvus
2026-06-03 23:23:09.923 | INFO     | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:45 - 开始入库，商品: 测试文档, 切片数: 1
2026-06-03 23:23:20.028 | WARNING  | app.import_process.agent.nodes.node_import_milvus:_get_milvus_client:97 - Milvus连接失败: <MilvusException: (code=2, message=Fail connecting to server on 47.94.86.115:19530, illegal connection params or server unavailable)>
2026-06-03 23:23:20.029 | WARNING  | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:59 - Milvus未连接，使用模拟模式
2026-06-03 23:23:20.030 | INFO     | app.import_process.agent.nodes.node_import_milvus:_mock_insert:220 - 模拟入库完成，数据保存到: output\milvus_import\import_20260603_232320.json
2026-06-03 23:23:20.032 | INFO     | app.import_process.agent.nodes.node_import_milvus:_save_import_result:240 - 入库结果已保存: E:\agent\PythonProject\dataset_rag\output\test_md_import\import_result.json
2026-06-03 23:23:20.032 | INFO     | app.import_process.agent.nodes.node_import_milvus:node_import_milvus:70 - >>> 节点执行完成: node_import_milvus
